arquivo_ll,otimizacao,dec_bytes,arquivo_o
extr_v3d_drv.h_v3d_has_csd.ll,O3,50,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_v3d_drv.h_v3d_has_csd.ll/O3.o
extr_btree.c_nilfs_btree_node_set_nchildren.ll,O3,48,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_btree.c_nilfs_btree_node_set_nchildren.ll/O3.o
extr_ar5211_misc.c_ar5211GetCurRssi.ll,O3,48,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_ar5211_misc.c_ar5211GetCurRssi.ll/O3.o
extr_connect.c_cifs_set_vol_auth.ll,Os,206,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_connect.c_cifs_set_vol_auth.ll/Os.o
extr_mv88e6063.c_mv88e6063_setup_global.ll,Os,110,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_mv88e6063.c_mv88e6063_setup_global.ll/Os.o
extr_corgi_lcd.c_lcdtg_set_common_voltage.ll,Os,176,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_corgi_lcd.c_lcdtg_set_common_voltage.ll/Os.o
extr_v3d_drv.h_v3d_has_csd.ll,Os,50,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_v3d_drv.h_v3d_has_csd.ll/Os.o
extr_btree.c_nilfs_btree_node_set_nchildren.ll,Os,48,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_btree.c_nilfs_btree_node_set_nchildren.ll/Os.o
extr_ar5211_misc.c_ar5211GetCurRssi.ll,Os,48,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_ar5211_misc.c_ar5211GetCurRssi.ll/Os.o
extr_connect.c_cifs_set_vol_auth.ll,Oz,206,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_connect.c_cifs_set_vol_auth.ll/Oz.o
extr_mv88e6063.c_mv88e6063_setup_global.ll,Oz,110,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_mv88e6063.c_mv88e6063_setup_global.ll/Oz.o
extr_corgi_lcd.c_lcdtg_set_common_voltage.ll,Oz,176,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_corgi_lcd.c_lcdtg_set_common_voltage.ll/Oz.o
extr_btree.c_nilfs_btree_node_set_nchildren.ll,Oz,48,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_btree.c_nilfs_btree_node_set_nchildren.ll/Oz.o
extr_v3d_drv.h_v3d_has_csd.ll,Oz,50,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_v3d_drv.h_v3d_has_csd.ll/Oz.o
extr_ar5211_misc.c_ar5211GetCurRssi.ll,Oz,48,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_ar5211_misc.c_ar5211GetCurRssi.ll/Oz.o
extr_af9015.c_af9015_i2c_func.ll,O1,38,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_af9015.c_af9015_i2c_func.ll/O1.o
extr_lgdt330x.c_lgdt330x_get_tune_settings.ll,O1,74,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_lgdt330x.c_lgdt330x_get_tune_settings.ll/O1.o
extr_aw_if_dwc.c_a20_if_dwc_probe.ll,O1,217,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_aw_if_dwc.c_a20_if_dwc_probe.ll/O1.o
extr_msg.h_msg_isdata.ll,O1,118,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_msg.h_msg_isdata.ll/O1.o
extr_igb_main.c_igb_open.ll,O1,28,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_igb_main.c_igb_open.ll/O1.o
extr_ks8851_mll.c_ks_start_rx.ll,O1,110,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_ks8851_mll.c_ks_start_rx.ll/O1.o
extr_af9015.c_af9015_i2c_func.ll,O2,38,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_af9015.c_af9015_i2c_func.ll/O2.o
extr_lgdt330x.c_lgdt330x_get_tune_settings.ll,O2,74,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_lgdt330x.c_lgdt330x_get_tune_settings.ll/O2.o
extr_aw_if_dwc.c_a20_if_dwc_probe.ll,O2,217,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_aw_if_dwc.c_a20_if_dwc_probe.ll/O2.o
extr_msg.h_msg_isdata.ll,O2,118,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_msg.h_msg_isdata.ll/O2.o
extr_igb_main.c_igb_open.ll,O2,28,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_igb_main.c_igb_open.ll/O2.o
extr_ks8851_mll.c_ks_start_rx.ll,O2,110,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_ks8851_mll.c_ks_start_rx.ll/O2.o
extr_af9015.c_af9015_i2c_func.ll,O3,38,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_af9015.c_af9015_i2c_func.ll/O3.o
extr_lgdt330x.c_lgdt330x_get_tune_settings.ll,O3,74,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_lgdt330x.c_lgdt330x_get_tune_settings.ll/O3.o
extr_aw_if_dwc.c_a20_if_dwc_probe.ll,O3,217,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_aw_if_dwc.c_a20_if_dwc_probe.ll/O3.o
extr_igb_main.c_igb_open.ll,O3,28,/home/calebe/Downloads/geração_de_prompt_label/Resultados_opt_niveis/Resultados extr_igb_main.c_igb_open.ll/O3.o
