arquivo,dec_bytes
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_armada38x_pl310.c_mv_a38x_platform_pl310_init.ll/melhor.ll,260
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_asb100.c_IN_FROM_REG.ll/melhor.ll,30
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_asix_devices.c_ax88772_unbind.ll/melhor.ll,72
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_aslxrefout.c_OtXrefAnalysisWalkPart2.ll/melhor.ll,0
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_asm_dalvik.c_dalvik_assemble.ll/melhor.ll,0
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_asn1_gen.c_main.ll/melhor.ll,0
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_asn1_internal_test.c_test_standard_methods.ll/melhor.ll,0
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_asn1_lib.c_ASN1_STRING_new.ll/melhor.ll,0
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_asn1_lib.c_ASN1_get_object.ll/melhor.ll,0
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_asn1_string_table_test.c_test_string_tbl.ll/melhor.ll,0
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_asn_mime.c_B64_write_ASN1.ll/melhor.ll,0
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_aspm.c_aspm_exit.ll/melhor.ll,38
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_assem_x64.c_emit_cmphi.ll/melhor.ll,84
/home/calebe/Downloads/geração_de_prompt_label/Resultados_seqUnica/Resultado_extr_ast_post.c_mmc_test_single.ll/melhor.ll,38
